IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG00844	1	0.0544283	-0.0347126	0.0869016	-0.00436371	-0.0315591	0.0833908	0.053554	0.114174	-0.000435261	0.01997
HG00851	2	0.0575706	-0.0340053	0.165755	-0.00698828	-0.0284099	0.280166	0.206526	0.333035	-0.015976	0.262074
HG00864	2	0.0513986	-0.0358654	0.0620888	0.00120119	0.0464761	0.0402583	0.01364	0.0400984	0.000853619	-0.0454145
HG00867	2	0.0531275	-0.0392228	0.0954127	-0.0152602	0.0330291	0.0368943	0.0239705	0.0929117	0.0123838	0.00252726
HG00879	2	0.0541132	-0.0377517	0.101795	-0.0208735	-0.00429969	0.0788124	0.0504888	0.095102	-0.0442706	0.0272235
HG00881	1	0.0527085	-0.0356077	0.153689	0.020963	-0.0406472	0.280829	0.205999	0.345843	-0.0178695	0.231315
HG00956	2	0.0460562	-0.0237241	0.0678578	0.0161692	0.00824545	0.0234666	-0.0128014	-0.0346861	0.0632201	-0.141119
HG00978	2	0.0436506	-0.0262825	0.0307238	0.0167568	0.0138813	-0.00294603	0.000628435	0.00211935	0.0255507	-0.044047
HG00982	1	0.0521259	-0.0327512	0.053995	-0.0250813	0.0180019	0.014032	-0.00557073	0.0278934	-0.00627404	-0.020405
HG01028	1	0.0538605	-0.0296132	0.0532614	0.00561722	0.0518332	-0.0142142	0.0104594	-0.0151868	0.0291268	-0.0757707
HG01029	2	0.0521035	-0.0307662	0.0703689	-0.00811272	0.0382079	0.0157663	0.00210141	0.014944	-0.00755349	-0.0813674
HG01031	1	0.0534812	-0.0326997	0.088979	-0.00279013	-0.003135	0.082061	0.0238252	0.0667508	-0.0568021	-0.0145292
HG01046	2	0.0534417	-0.0289899	0.050096	0.0168252	0.0206968	0.018908	-0.0202182	-0.0472334	-0.00200498	-0.0909425
HG01595	2	0.0363505	-0.0100411	-0.0650326	0.0127187	-0.00119182	-0.0126522	-0.0226741	0.0134092	0.00125525	0.00411009
HG01596	1	0.0399441	-0.0177613	-0.0706757	0.00761577	-0.0422127	0.0303795	0.0376324	0.0376535	0.00750304	0.0115487
HG01597	2	0.0406214	-0.0201339	-0.0702364	0.00795158	0.00701305	-0.0181368	-0.00742227	0.023879	-0.0445522	0.00536308
HG01598	2	0.0402683	-0.022602	-0.0751843	0.0225482	-0.0140034	0.0273945	0.00335552	-0.027013	0.0116624	0.0324398
HG01599	2	0.0400362	-0.0158343	-0.0743558	-0.0223637	0.0138373	-0.00926432	0.0176076	0.0211085	-0.0240777	-0.01275
HG01600	2	0.0379893	-0.0126562	-0.0507041	-0.0175464	-0.0153864	-0.0448224	0.0496338	-0.0287825	0.0117383	-0.0216252
HG01794	2	0.0546207	-0.0311686	0.0452784	-0.0102513	-0.0118982	0.0284509	0.0272684	-0.0548133	0.0163718	-0.0220405
HG01795	2	0.0494734	-0.0329493	0.0557812	0.0230449	0.0768777	0.0709846	0.203633	-0.244906	0.418488	0.118723
HG01796	2	0.0533958	-0.0361481	0.0528763	-0.0115307	0.031925	0.0265688	-0.0415568	-0.00350578	-0.040072	-0.0518025
HG01797	2	0.0563758	-0.0365569	0.0334132	-0.0178015	0.0288845	-0.0497665	-0.0285813	0.0266	-0.0108269	-0.0443099
HG01798	2	0.00622351	0.028928	0.0130912	0.00107661	-0.0304972	-0.0101577	-0.0174348	-0.0192209	0.0101313	0.0408448
HG01799	2	0.0535906	-0.0359645	0.0492876	-0.0170793	-9.16533e-05	-0.0189541	-0.00300711	0.044266	0.0302171	-0.0126668
HG01800	2	0.0494365	-0.0321212	0.0541396	0.026584	-0.00236409	8.25768e-05	0.0195329	-0.00775054	0.0355818	-0.0613635
HG01801	2	0.05497	-0.0366601	0.086513	0.0114707	-0.223047	-0.09656	-0.0274062	-0.0650597	-4.94279e-05	-0.0172043
HG01802	2	0.0446924	-0.0255019	0.0602617	0.0070337	0.00635176	0.0148348	0.0134355	-0.0353537	0.00739989	-0.0574127
HG01804	2	0.0509426	-0.0298362	0.0440097	-0.0125888	0.0270163	-0.0352945	-0.0153177	0.047184	0.00828744	-0.0262048
HG01805	2	0.0520808	-0.0271447	0.0458227	0.00743558	-0.0330608	-0.0275643	0.0127773	0.0493347	-0.0552747	-0.0129559
HG01806	2	0.0530517	-0.0308285	0.0415251	-0.00868544	0.0145947	0.0201545	0.0607952	-0.0623324	0.0947854	-0.0152158
HG01807	2	0.0541338	-0.0428667	0.0609832	-0.0223081	0.0332506	0.000602281	-0.0448149	-0.0100177	0.00610047	-0.0393816
HG01808	2	0.0499207	-0.0327926	0.0696682	-0.00686057	0.00835225	0.0142865	-0.0330326	0.000764359	-0.022787	-0.0261434
HG01809	2	0.0527557	-0.0362678	0.0655109	0.014884	0.0462765	-0.0217546	-0.0062348	-0.0198664	0.0324762	-0.0773035
HG01810	1	0.0521361	-0.0332894	0.0690522	-0.028475	-0.00326787	0.000772888	0.0216326	-0.0273735	-0.0314181	-0.0340767
HG01811	1	0.0544124	-0.0321343	0.0811106	0.00747506	0.0385371	0.0866781	-0.00233437	-0.0987128	-0.0498302	-0.0147916
HG01812	2	0.0521896	-0.0324795	0.0457665	-0.0120927	0.022433	0.0128764	-0.0174087	-0.022587	-0.00832074	-0.0275702
HG01813	2	0.0465676	-0.0272312	0.0790105	-0.00292517	0.00408833	0.064664	-0.0215933	0.00675142	0.0123323	-0.0146831
HG01815	2	0.052035	-0.0319186	0.0279861	0.0138752	-0.0141671	0.0060587	-0.00443951	0.00834296	0.0128888	-0.0228367
HG01816	1	0.0533343	-0.0333833	0.132038	0.0367627	0.138522	0.204825	0.08188	-0.497641	-0.408426	0.208537
HG01817	2	0.0531892	-0.0339871	0.0447837	0.00868064	0.0517277	-0.0155872	-0.0440725	0.0105171	0.0334425	-0.074988
