IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG01395	1	0.0515206	0.0181166	-0.0659676	-0.00572024	-0.0196295	-0.00585504	0.000121161	-0.0286401	-0.0500276	0.0043535
HG01396	2	0.0400198	-0.0478887	-0.0420105	-0.0185099	0.0818177	0.0515403	-0.0538558	0.0162707	0.066447	-0.0117277
HG01398	1	0.0468737	-0.0342982	-0.0488348	-0.0127119	-0.0512483	0.18273	-0.0467164	0.00242774	0.0294097	-0.0128038
HG01402	1	0.0436162	-0.0420008	-0.0576742	-0.019095	-0.0297663	0.0718843	0.0422304	0.00992698	-0.0115463	0.0781297
HG01403	2	0.0454393	-0.0434257	-0.0358837	-0.00215933	0.00678293	-0.0350308	0.124459	-0.111113	-0.00660375	-0.10891
HG01405	1	0.0541042	0.0102747	-0.0647602	-0.0182926	-0.0506212	0.0360416	0.0426273	-0.0231898	-0.069103	0.0775169
HG01412	1	0.0364889	0.00143124	-0.0860828	-0.0177627	0.106381	-0.0287367	0.0176451	0.0150456	-0.0286558	0.0418296
HG01413	1	0.0414506	-0.0258884	-0.0629104	-0.0251196	-0.00471854	0.0199856	0.00179908	0.047225	-0.0490754	0.102637
HG01414	2	0.0451976	-0.0226321	-0.0464142	-0.00572399	-0.0130036	0.00248049	0.00664345	-0.0784636	-0.0654755	0.0155318
HG01431	1	0.0238571	0.00215734	0.069035	0.025491	0.0379682	0.0101372	0.0927978	0.0181816	-0.0162198	0.0504298
HG01432	2	0.0290535	0.0606646	0.0629824	0.0386626	-0.104175	-0.0766439	0.106976	-0.0132884	-0.023033	-0.031622
HG01435	2	-0.0202847	0.0135769	0.0464047	-0.00380964	0.0537354	0.0113525	0.10716	-0.0492476	0.023446	0.00670894
HG01437	1	0.0518973	0.088185	0.0464167	0.0628324	-0.141978	-0.100381	0.0594028	0.0524208	0.0408439	-0.033485
HG01438	2	0.0639843	0.0894027	0.0168541	0.0447249	-0.138275	-0.0419067	-0.0135212	0.0212447	-0.010349	-0.0199137
HG01440	1	0.0318731	-0.042502	0.0419147	-0.00566376	-0.0362915	0.00491793	-0.082757	0.0578184	-0.169439	0.0643219
HG01441	2	-0.00116545	0.0388654	0.0295311	-0.000126527	-0.00661911	0.00964999	0.0525057	-0.0887312	0.0736803	0.0451075
HG01443	1	-0.0282918	0.0124734	0.0739019	0.0204614	0.0467604	0.0063068	0.079154	-0.00695575	-0.00507101	0.0321949
HG01444	2	0.0222306	0.0100581	0.0717917	0.0351859	0.00425574	-0.053478	-0.00406978	-0.04276	-0.0292057	0.120522
HG01447	2	0.0291038	0.025072	0.0613907	0.028795	-0.0457601	-0.0795308	0.08791	0.0616046	0.0942009	-0.00546151
HG01455	1	0.00227586	0.0443858	0.0755093	0.0422957	0.110194	0.0274507	0.0386228	0.0108345	0.0250729	-0.00312568
HG01456	2	0.00407814	0.0289255	0.075171	0.0173777	0.0652778	0.00272837	0.0605918	0.00416824	0.0147653	0.0393796
HG01459	2	-0.00152923	0.0408003	0.0463575	0.0279979	0.0121442	0.0377515	-0.0179515	-0.0661549	-0.0963452	-0.0608096
HG01461	1	0.0073186	-0.0550545	0.0466989	-0.00538176	-0.0167638	0.045073	0.0871939	0.0562615	-0.11268	-0.111752
HG01462	2	0.0206396	-0.127785	0.0665516	0.00357764	-0.0845286	0.0301574	0.0735476	0.0673545	0.110388	-0.17597
HG01464	1	0.0178781	-0.0554199	0.0997506	0.0289185	0.000742635	-0.0677259	0.0661791	-0.203438	0.015018	0.0621622
HG01465	2	0.0407602	0.0850865	0.0969311	0.0711388	0.166337	0.129353	-0.221957	-5.74522e-05	0.0235715	-0.149444
HG01468	2	0.0424585	0.0872283	0.106204	0.0735401	0.180308	0.154731	-0.307	-0.0917269	0.0388994	-0.19525
HG01474	2	0.0445493	0.0854577	0.0607485	0.0680197	0.0639903	0.0490681	-0.0825934	-0.0151474	-0.0697626	-0.035775
HG01479	1	0.051171	0.0837777	0.0601446	0.060776	-0.0643304	-0.0922828	-0.0241442	0.00131222	-0.0255309	0.0216066
HG01485	1	0.0300862	-0.169103	0.11467	0.0563907	0.0271792	-0.0122188	0.0912558	0.0050753	0.081982	-0.132446
HG01486	2	0.00782492	0.0357111	0.023722	8.20307e-05	0.0383165	0.00549101	0.0199232	-0.0326645	0.0171724	0.0227955
HG01488	1	0.0490217	-0.0128474	0.0596767	0.0421633	-0.0835828	-0.0509132	-0.0145947	0.0049591	0.0157723	0.000586599
HG01489	2	0.0504754	0.0825675	0.0471233	0.0426089	-0.107332	-0.0630657	-0.0188991	-0.0453022	0.132218	-0.073325
HG01491	1	0.0451083	0.08247	0.0627264	0.0630761	0.0517079	0.0710942	-0.0717715	-0.000211099	-0.00326997	-0.0464925
HG01492	2	0.0348845	0.0647445	0.0394598	0.0309919	-0.0957439	-0.0463114	0.0821761	0.035458	-0.0384488	-0.0128187
HG01494	1	-0.000131937	0.000283617	0.0900581	0.0397599	0.067837	0.0317207	0.0355859	0.0274374	-0.0487295	0.109853
HG01495	2	0.00629116	-0.0162624	0.0708618	0.0225814	0.000782031	-0.0286645	0.10014	0.0118887	-0.0328374	0.0411223
HG01497	1	0.0069849	0.0421842	0.0862727	0.0413271	0.0925138	0.03729	0.063117	-0.0979917	-0.0536035	0.0691149
HG01498	2	0.0111559	0.0415034	0.0779879	0.0504741	0.0802314	-0.016691	0.0466428	-0.0467172	-0.0574417	0.141941
HG01550	1	0.0346718	0.0475709	0.068467	0.0644252	0.055978	0.0648849	-0.0963559	-0.0217263	0.0270023	-0.0873979
HG01551	2	0.0372494	-0.191305	0.106238	0.0322834	0.0160883	-0.035585	0.0442385	-0.0124781	0.309696	0.0913345
