IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03774	2	0.0245165	0.0106974	-0.014537	-0.0252235	0.0110607	-0.0172986	-0.0216477	0.00682988	0.0617694	-0.0372235
HG03775	1	0.0165783	0.00901725	-0.00804855	-0.0179099	-0.000846207	-0.00385659	-0.00222127	0.0162157	0.0596869	-0.0209617
HG03777	1	0.00923954	0.00871857	-0.0103794	-0.0296328	0.0121255	-0.0139608	-0.0103815	0.0241541	0.064864	-0.0392893
HG03778	1	0.0298612	-0.00918164	-0.0184192	0.00404716	0.00274979	-0.0060182	0.0027572	-0.00668428	0.0195579	-0.0128313
HG03779	1	0.0229674	0.000729716	-0.00476112	-0.00112724	-0.00442367	-0.0200551	0.00170108	-0.00639236	0.00846153	-0.00539229
HG03780	2	0.0144968	0.0116131	-0.0240197	-0.0251501	0.0056179	-0.0020665	-0.0106657	0.0184438	0.0571803	-0.0447783
HG03781	2	0.0201952	-0.00417871	-0.00764288	-0.0104313	-0.00225626	0.00259968	0.00721104	-0.00972912	0.0131515	-0.0225926
HG03782	2	0.0173949	0.0116079	-0.0231113	-0.011728	0.0127497	-0.0048504	-0.00512481	0.0229218	0.0546693	-0.0209371
HG03784	2	0.0598597	-0.0781302	-0.132915	0.168274	0.0396559	0.0439142	-0.0238134	0.00996598	-0.0092263	-0.00193064
HG03785	1	0.0613274	-0.084335	-0.120318	0.15284	0.0390662	0.0380857	-0.026525	0.0113619	-0.0147573	-0.00152327
HG03786	1	0.0562021	-0.0766302	-0.12963	0.160244	0.0338029	0.0365851	-0.0422719	0.0180603	-0.0215703	0.0162107
HG03787	2	0.0448323	-0.0157111	-0.00896207	-0.00718741	-0.0151787	-0.011126	0.0140431	0.00165745	0.0188297	-0.0234086
HG03788	1	0.0124456	0.00932896	-0.00990082	-0.0118879	0.0102191	-0.0065672	0.00707454	0.0028521	0.0365139	-0.0084318
HG03789	2	-0.00882342	0.0147477	-0.0141902	-0.00349913	0.0154458	-0.00758769	-0.00135651	0.00551637	0.00547329	-0.0305271
HG03790	1	0.0109583	0.0156364	-0.0204813	-0.0171366	0.00866026	-0.00405988	-0.00853225	0.0100271	0.0673694	-0.0640745
HG03792	1	0.0135686	0.0158496	-0.0198927	-0.0143265	0.0162031	-0.0136333	0.0054946	0.000987193	0.0672035	-0.044503
HG03793	2	0.0263999	-0.00953331	0.00927128	-0.00704722	-0.0100532	-0.0220643	0.0305446	-0.0149274	-0.0348017	-0.0127614
HG03796	2	0.0276473	0.0020699	0.0124063	-0.0137168	-0.0136005	-0.016649	0.0449383	-0.048193	-0.0770111	0.00957348
HG03800	1	0.0503471	-0.011961	0.00873373	-0.0292356	-0.013288	-0.0199494	0.0469183	-0.0368409	-0.0717138	-0.00828093
HG03802	2	0.0288883	-0.000302129	0.0176747	-0.00554828	-0.0104321	-0.0201985	0.0267648	-0.0330907	-0.0570464	0.00152231
HG03803	1	0.021103	-0.00124327	0.0173476	-0.00890589	-0.00386157	-0.00983399	0.0371631	-0.0349454	-0.0547452	-0.0132004
HG03805	2	0.0272827	0.0015476	0.0124772	-0.00773119	-0.00495514	-0.0184173	0.0442074	-0.0431513	-0.0580638	-0.00759879
HG03808	2	0.0295917	0.0041522	0.00347021	-0.0100079	-0.00921844	-0.0122945	0.039287	-0.0298522	-0.0639701	-0.00414109
