IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
HG03040	2	0.034876	-0.00364062	-0.000276889	-0.000597962	0.000940495	-0.0333791	0.00187445	-0.00989036	0.00505269	-0.00170348
HG03045	1	0.0336494	-0.00364795	4.45352e-05	-0.000653796	-0.000880839	-0.0525015	0.0162645	-0.0329863	-0.00175622	-0.0371069
HG03046	2	0.0337508	-0.00322681	-0.000159129	-0.00043097	-0.00028224	-0.0563133	0.0149896	-0.0332897	-0.00179669	-0.0292719
HG03048	1	0.0341606	-0.0034525	0.000144678	-0.000534806	0.000867761	-0.059631	0.012963	-0.0384741	0.00384849	-0.0536309
HG03049	2	0.0343992	-0.00359671	0.000388965	-0.000464677	-0.00173747	-0.0642299	0.0187151	-0.0408492	-0.00219516	-0.0598095
HG03052	2	0.035418	-0.00385137	-0.000450798	0.000123017	0.000373221	-0.0304477	0.00191903	-0.00884066	0.000659425	0.0835113
HG03054	1	0.03549	-0.00461715	-0.000375119	0.000211241	0.000169803	-0.0372141	0.00241865	-0.0062684	0.000579652	0.0956728
HG03055	2	0.0352523	-0.00380981	-0.000245889	0.000476598	0.00113475	-0.0309187	0.00190114	-0.0124877	0.00225504	0.0780518
HG03057	1	0.0354211	-0.00392528	0.000198518	0.000316355	0.00129307	-0.0342778	-0.000319249	-0.00997708	0.00265416	0.0884916
HG03058	2	0.0352719	-0.004121	-0.000274102	-0.000604468	0.00158169	-0.0350957	0.00105495	-0.00579387	-0.000721001	0.0683812
HG03060	1	0.0353208	-0.00411057	2.4514e-05	0.000444078	-0.00143071	-0.0334649	0.00105224	-0.00648669	0.00443196	0.0748631
HG03061	2	0.035252	-0.00427869	-0.000413853	5.7373e-05	0.00103043	-0.0378248	0.00142706	-0.00950618	-0.00125641	0.0715378
HG03063	1	0.0354616	-0.00397238	-0.000169942	0.000508772	0.00102042	-0.0373231	0.00243342	-0.00809814	-0.00277714	0.070108
HG03064	2	0.0355098	-0.0043093	-0.00028597	2.9971e-05	-0.00087157	-0.0300042	0.00137847	-0.00554245	0.00298264	0.0783905
HG03066	1	0.0353696	-0.00385917	-0.000553188	0.000747222	0.00122337	-0.0326023	0.00201878	-0.00757866	-0.000409372	0.0766927
HG03069	1	0.0355193	-0.00421833	-0.000351626	0.000249806	0.00057519	-0.0337319	0.000626376	-0.0059198	0.0045819	0.0853446
HG03072	1	0.0353698	-0.00412811	-0.000199376	0.000112829	-0.000580339	-0.0375615	0.00439961	-0.0111224	0.00319501	0.0728024
HG03073	2	0.0352577	-0.00368129	-0.000306782	-6.74153e-05	-0.00105903	-0.0390737	0.00374717	-0.0128029	0.00239005	0.0958476
HG03074	1	0.0357415	-0.00388347	-0.000315287	-1.56491e-06	0.000154545	-0.0351791	0.000761595	-0.00791619	0.00204718	0.0869062
HG03077	1	0.0354356	-0.00408078	-0.000363396	-0.00036197	0.00127658	-0.0332813	0.00197481	-0.004736	-0.00332445	0.0652234
HG03078	1	0.0353025	-0.00397376	-0.000426789	5.18251e-05	0.000183773	-0.0363988	0.000964001	-0.00695612	-0.000122121	0.0829533
HG03079	2	0.0355813	-0.00395254	-0.000185406	-0.000286222	0.00201986	-0.0342323	0.00111093	-0.00888505	0.00184231	0.0809186
HG03081	1	0.0355503	-0.00407549	0.000549979	0.000172364	-0.000442679	-0.0292484	0.00154227	-0.0072322	-0.000949703	0.0766428
HG03082	2	0.0353723	-0.00404512	0.000198296	0.000253464	0.00124465	-0.0384005	-7.04529e-05	-0.0114088	-0.0019081	0.0698293
HG03084	1	0.0352484	-0.00408575	-0.000371986	0.000201112	-0.00115476	-0.0339036	-0.000548625	-0.0108277	-4.79972e-05	0.0716381
HG03085	2	0.0353782	-0.00401607	-0.000104659	6.41223e-06	0.000137139	-0.0308232	0.00108436	-0.00504407	0.0041036	0.0818317
HG03086	2	0.0349772	-0.00402606	0.000392784	-0.000389913	0.000848532	-0.0329529	0.00319217	-0.00256578	0.00617891	0.0864131
HG03088	2	0.0348035	-0.00372139	0.000443357	-0.00037884	0.00250668	-0.0420488	0.00635983	-0.0142986	-0.00120788	0.0304353
HG03091	2	0.0354615	-0.00374566	-2.32141e-05	0.000741005	0.00124507	-0.0330638	0.000653593	-0.0105225	0.00211841	0.0764662
HG03095	2	0.0354157	-0.00421315	0.000122426	0.00033084	0.00131392	-0.0343619	-0.00114961	-0.00953972	0.000639623	0.0742134
HG03096	1	0.0353604	-0.00448522	-0.000165924	0.000274033	0.0015602	-0.0336502	0.00194562	-0.00679634	0.00579549	0.0720979
HG03097	2	0.0353966	-0.00405023	0.000883388	-0.00013141	-7.42116e-05	-0.0340671	-0.00176175	-0.0116759	0.00340428	0.109298
HG03099	2	0.0358974	-0.00427174	0.000372198	-0.000145261	0.000535423	0.0212744	-0.0169239	0.0445313	-0.00427532	-0.0237767
HG03100	1	0.0352171	-0.00409289	8.33478e-05	0.000815987	0.0008797	0.0166487	-0.0148969	0.0423324	0.00143356	-0.0260083
HG03103	1	0.035399	-0.00415071	0.000161508	0.000391997	4.29979e-05	0.0152263	-0.0150861	0.0471568	-0.00295966	-0.0285133
HG03105	2	0.0357083	-0.00400883	-2.31492e-05	1.93296e-06	-0.000392012	0.0198074	-0.0139474	0.0461004	0.00101342	-0.0210353
HG03108	2	0.035655	-0.00410903	-9.61943e-05	0.00101704	0.00106959	0.0161248	-0.0170104	0.0486705	-0.0013265	-0.0377287
HG03109	1	0.0354957	-0.00404936	-0.000736066	0.000327752	0.000321638	0.0173318	-0.0134933	0.0451382	0.00111034	-0.0297363
HG03111	2	0.0353879	-0.00430084	1.95441e-05	0.000636289	-0.000624156	0.0195085	-0.0114459	0.0357617	0.000488392	-0.0199522
HG03112	1	0.035451	-0.00365073	0.000429967	-0.000312375	-0.000459161	0.020824	-0.0134668	0.0422847	0.00520317	-0.0109877
HG03114	2	0.0354023	-0.00408234	-0.000206666	0.000491708	0.00122908	0.0175251	-0.0165134	0.0514605	0.00119073	-0.0257383
HG03115	1	0.0354661	-0.00431301	-0.000206641	1.5283e-05	-0.00060986	0.0158549	-0.0138185	0.0428512	-0.000234708	-0.0217752
HG03117	2	0.0356079	-0.00390239	-0.00045766	2.73965e-05	0.0010688	0.0202142	-0.013562	0.0459064	-0.00334277	-0.0306443
HG03118	1	0.0354625	-0.00400583	-0.000534842	-5.89913e-05	-0.000847447	0.0154093	-0.0137827	0.0440317	0.00140339	-0.0211529
HG03120	1	0.0355882	-0.00392968	0.000286416	0.000136915	0.000421702	0.0183789	-0.0131589	0.0447146	-0.00193885	-0.0322892
HG03121	2	0.0353974	-0.00443656	-0.000762183	0.000110382	0.00169888	0.020711	-0.012436	0.0447686	-0.000903363	-0.03618
HG03123	2	0.035587	-0.00424485	-0.000240643	0.000311675	0.000918247	0.0208892	-0.0144076	0.0476014	-0.00249048	-0.0261637
HG03124	1	0.0355163	-0.00405512	0.000482818	-5.19639e-05	-0.000492772	0.0149232	-0.0132218	0.0433464	0.00140662	-0.0170784
HG03126	2	0.0354302	-0.00412931	-2.25272e-05	-0.000307964	0.00247738	0.0154802	-0.0146268	0.0459501	0.000515066	-0.0252918
HG03127	1	0.0352651	-0.00417046	0.000319659	0.000333661	0.000840587	0.0175683	-0.012072	0.0410636	0.000877787	-0.0214348
