IID	Sex	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10
NA19129	2	0.0166616	0.0200839	0.0289436	-0.00240698	0.01387	-0.00614821	-0.00167336	0.0134987	0.0111391	0.00412731
NA19130	1	0.018367	0.0224442	0.0305698	-0.011232	-0.00203618	0.013394	0.00458152	0.00289018	-0.00452096	-0.000289136
NA19131	2	0.0189016	0.0232765	0.0308295	-0.00046349	0.00490934	0.00965095	0.00391045	-0.00680074	0.0158296	-0.0032099
NA19137	2	0.0177944	0.0240173	0.0329031	-0.000765096	0.00344248	0.00330158	0.001353	0.000485812	-0.00148912	0.00213918
NA19138	1	0.0177278	0.0273089	0.0317661	-0.00941792	-0.0013328	-5.85079e-05	-0.0103026	-0.013797	-0.00060389	-0.000226479
NA19141	1	0.0181171	0.0249414	0.0315855	-0.00422815	-0.00522192	-0.00303493	0.00310923	0.00412052	-0.00320471	0.00169019
NA19143	2	0.0189482	0.0228815	0.0296872	-0.00997517	0.00319252	0.00334181	-0.000956869	-0.00376463	0.00257254	-0.000801894
NA19144	1	0.0200167	0.0246154	0.0309802	-0.00834231	-0.00152218	0.00428613	-0.00461736	-0.00224807	0.00543198	-0.00895643
NA19146	1	0.018916	0.0271391	0.0314994	-0.00963824	-0.00423921	0.0087299	0.00205643	0.000775892	-0.0021358	-0.000620493
NA19147	2	0.0168614	0.0239147	0.0306449	-0.00624965	0.00701135	-0.00085785	-0.00543605	0.000586157	-0.00107871	-0.00349122
NA19149	2	0.0215329	0.0283598	0.0348804	-0.00490786	-0.00456471	0.00592334	-0.000604446	0.00500576	-0.00656411	0.00967344
NA19152	2	0.0184086	0.0247238	0.0326864	-0.0127234	-0.00798179	-0.00966853	-0.000401429	0.00147379	0.00105384	0.000228042
NA19153	1	0.0202366	0.0254575	0.0325734	-0.000249745	-0.0086549	0.00537255	-0.00603939	-0.00185508	0.00697723	-0.00150556
NA19159	2	0.0166282	0.022578	0.0312656	-0.00927459	-0.00796157	-0.00448534	-0.00213768	-7.68381e-06	-0.00160342	0.0025164
NA19160	1	0.0202672	0.0250686	0.0366847	-0.0077452	-0.00419786	-0.0022385	-0.00250941	-0.00399753	0.00222377	0.00258019
NA19171	1	0.0168216	0.0224262	0.0298697	-0.0047803	0.00220142	0.00692291	0.00250047	-7.17536e-05	-0.00476131	-0.00446305
NA19172	2	0.0159511	0.0294289	0.0362322	-0.00585163	0.010913	0.000122948	-0.00182833	0.00485662	-0.00700076	0.000973499
NA19175	1	0.0182887	0.0234142	0.0308588	-0.0127542	-0.00268904	-0.00379975	0.00353308	-0.00550393	0.00110577	-0.0143986
NA19184	1	0.0178612	0.0327243	0.0398627	-0.0160895	-0.00620417	0.00238662	-0.00411564	-0.00139084	-0.00236034	-0.0127242
NA19185	2	0.0179689	0.028072	0.036192	-0.00621751	0.00301743	0.00525935	0.00147377	0.00566343	0.000799688	0.0065983
NA19189	1	0.018729	0.021886	0.0322925	-0.00369079	0.00306954	9.93712e-05	-0.00380905	-0.00155371	-0.00398243	0.000566555
NA19190	2	0.0186263	0.0258097	0.0308484	-0.0130211	0.00440077	0.0024566	0.00257891	-0.00887245	-0.000531816	0.00361157
NA19197	2	0.0173299	0.0285086	0.0374792	-0.0125494	0.00543024	0.00577004	-0.00127277	-0.00480231	0.00653637	-0.00603355
NA19198	1	0.0171095	0.0282623	0.0335491	-0.0125819	-0.000792872	-0.00264291	-0.00861722	-0.000282488	0.00388855	-0.00198868
NA19200	1	0.0165794	0.0275151	0.0388749	-0.0114575	0.00443226	0.00909454	-0.00616089	-0.00703806	0.00666476	-0.0110312
NA19201	2	0.0189493	0.0319294	0.0366502	-0.0153251	0.0101157	-0.00595217	-0.00608609	-0.00279898	-0.0011321	0.00966209
NA19204	2	0.0184204	0.0231315	0.0312599	-0.0141056	-0.00235996	0.00795804	-0.00447947	0.000471425	-0.0111183	-0.00915782
NA19206	2	0.0173958	0.0295236	0.0369377	-0.0116069	-0.00331998	0.00188787	0.00288985	0.00188865	0.00567595	0.00196463
NA19207	1	0.0206502	0.0272685	0.0377492	-0.0104665	0.00641566	-0.000307776	-0.00112986	-0.00271565	0.00514818	-0.0104033
NA19209	2	0.0182776	0.026007	0.0337037	-0.00889482	-0.00544599	-0.00263284	0.000414353	0.00378842	-0.000733756	-0.000404335
NA19210	1	0.0196559	0.025705	0.0387662	-0.00846893	-0.0028836	0.00293059	0.00082478	-0.00581328	0.00158951	-0.0151013
NA19213	1	0.0166994	0.0250734	0.0314468	-0.00767273	-0.00753995	0.00239105	-0.00281269	0.00467189	-0.00123484	0.00183593
NA19214	2	0.0193987	0.0251597	0.0315829	-0.00819791	0.00471783	0.00304558	0.00682006	0.00172444	0.0118979	0.00717145
NA19222	2	0.0185508	0.027886	0.0337454	-0.00278857	-0.00100575	0.00213467	-0.00902864	0.00518346	0.00727206	-0.0061568
NA19223	1	0.0169207	0.0280334	0.0329487	-0.0102111	-0.00645361	-0.0026138	0.00390577	0.00726371	0.00131836	-0.00418234
NA19225	2	0.0166554	0.0286948	0.0387432	-0.0164179	-0.0019232	0.00325124	-0.00133627	0.00780564	-0.00391872	0.00266767
NA19235	2	0.0184712	0.0256552	0.0316009	0.000307564	0.00384766	0.00581441	0.00791187	-0.0107785	0.0135817	-0.00571651
NA19236	1	0.0181101	0.0247353	0.0295046	-0.00407941	-0.00931683	-0.00265392	0.00237356	0.00576026	-0.00188444	-0.00874568
NA19238	2	0.0173933	0.0226502	0.0311832	-0.014548	0.00456078	-0.00716825	-0.00599435	0.00079215	-0.00656015	-0.00684073
NA19239	1	0.0196661	0.02394	0.0301271	-0.0073406	-0.00843833	0.00095891	0.00848517	-0.00225381	0.00215907	0.00677897
NA19247	2	0.0181184	0.0235472	0.033014	-0.0053961	-0.00520037	0.00185288	0.00804933	-0.0070057	0.00517163	-0.00542352
NA19248	1	0.0198108	0.0189143	0.0281995	-0.008784	-0.00521983	0.00038716	0.00472999	0.00602659	-0.0029404	-0.00145587
NA19256	1	0.0155787	0.0275927	0.0313517	-0.0099801	0.00820162	0.00417212	-0.000194795	-0.00240362	0.000323637	-0.0148002
NA19257	2	0.0186911	0.028121	0.0355117	-0.00698384	-0.00539311	0.0030517	-0.00372347	-0.0073301	0.00988664	-0.00254897
NA19307	1	-0.037612	0.0558622	-0.0783517	-0.00272562	-0.00799382	0.0044013	0.00131868	0.00180605	-0.0231657	0.00109739
NA19308	1	-0.0319365	0.0531608	-0.0640267	0.0102379	0.0117264	0.000348222	-0.00205419	0.00243781	-0.0141786	-0.00349947
NA19309	1	-0.0334052	0.0526679	-0.0618532	0.00146241	-0.00202925	-0.00284108	-0.00322913	0.012128	-0.0143302	0.00989559
NA19310	2	-0.0291595	0.0579136	-0.0619904	0.000139248	0.00758425	-0.00829172	0.00479721	0.00132258	-0.0132179	0.00727964
NA19312	1	-0.0347617	0.0547977	-0.0740112	0.00213681	-0.00328603	0.0102863	0.00582129	0.00743638	-0.0198544	0.0124303
NA19314	2	-0.0420499	0.0456497	-0.0623874	0.00444127	-0.00428685	0.00689911	-0.00175096	-0.00475533	-0.0116292	-0.00489589
NA19315	2	-0.0379534	0.0462763	-0.0603486	0.0012157	0.00102999	0.00543028	0.00852576	-0.00133292	-0.0156383	0.00318489
NA19316	2	-0.0366034	0.0531807	-0.0691239	-0.00171581	0.00282153	0.00129888	0.00205146	-0.00505192	-0.0188817	0.00817884
NA19317	1	-0.0305117	0.0576023	-0.0699902	0.00549719	0.00711334	0.00187153	0.000320618	0.0135156	-0.0200463	0.0150008
NA19318	1	-0.0357462	0.0617767	-0.0736622	0.00483184	0.00842745	-0.00446445	-0.00157836	0.0046898	-0.00813397	0.0101682
NA19319	1	-0.0337307	0.0509196	-0.0651259	-0.00111569	0.00145344	-0.0121023	0.00176094	0.0057649	-0.0158763	-0.00347145
NA19320	2	-0.0365784	0.0625305	-0.0799366	-0.00264087	0.00746932	-0.00521273	0.00563992	0.0179837	-0.0407977	0.0199777
NA19321	2	-0.0319218	0.0508224	-0.0678747	0.00114245	-0.000336436	0.00812745	-0.00609504	-0.000161661	0.00414552	-0.0019051
